,id,has_startup
449,jl_a7b9a3ae92cb2fd0,1
450,jl_27be3e2e56bc155a,1
451,jl_9626c817bc6e4a58,1
452,jl_26aefeed43055f99,1
453,jl_61250b29426460bf,1
454,jl_bbe723ea98beacea,1
455,jl_c10909eba8a41128,1
456,jl_3a01216fac4b9c51,1
457,jl_02ede2deffdcab0e,1
458,jl_e0e351b8a2aaeb8d,1
459,jl_1b510c7db8656f8b,1
460,jl_77dc10ccf817960d,1
461,jl_2f9d39e20a55df44,1
462,jl_46f9749df0d852a5,1
463,jl_b7e5050ef9d1907a,1
464,jl_a0779424c9079da1,1
465,jl_cde07460ec58a933,1
466,jl_89d6dcbd01c6ed1e,1
467,jl_548d5d6f4e260c19,1
468,jl_a847d9e349564130,1
469,jl_6c600276c194b9e9,1
470,jl_236c5f472b593823,1
471,jl_df4f67a620710e8a,1
472,jl_cfaf4580a4eba466,1
473,jl_77151706ac476442,1
474,jl_854d05a05acc73df,1
475,jl_80f2955f0cbfd8cd,1
476,jl_24418a1fa6946cb5,1
477,jl_edf3a3681ef7d8b0,1
478,jl_03a8bba20bb105b7,1
479,jl_c38179870b71fdb9,1
480,jl_5809e08f3442a27f,1
481,jl_20682817fe345075,1
482,jl_e3c140123e9b7692,1
483,jl_a93519cd9cc82925,1
484,jl_cb2602853c2706ec,1
485,jl_398a893a4024fe01,1
486,jl_ba19b2e0984e8e1f,1
487,jl_89b7884095f9fff2,1
488,jl_275a5b460844dc3b,1
489,jl_4f12cdd933304825,1
490,jl_27952ac140bbbd06,1
491,jl_ecb3f8dff0b8cfc0,1
492,jl_187f152fed51bfa9,1
493,jl_f4eafb4c336da7ac,1
494,jl_360ee937dd5d3bb7,1
495,jl_16fd663281139121,1
496,jl_ce51bf2b6607c0cd,1
497,jl_a5306401657b46b4,1
498,jl_c98395ff6abb6eaa,1
499,jl_aa46cf30c6aecfb5,1
500,jl_13b17a5f966f15c5,1
501,jl_0401599ef6948a07,1
502,jl_e75253b00cc34652,1
503,jl_9705439541bc5fc5,1
504,jl_5e4dfb0ee330f18f,1
505,jl_139b1e89065b5a17,1
506,jl_688d23a0dffdce61,1
507,jl_ad07c0f93d0bc43b,1
508,jl_6fcfc077d515cf2a,1
509,jl_4576f50fc80a54eb,1
510,jl_617d4a61a8adf605,1
511,jl_a6a332c03fae43ff,1
512,jl_21a46de3c190c6cf,1
513,jl_b071267bf5be6bad,1
514,jl_c0999baee2ba3053,1
515,jl_139b1e89065b5a17,1
516,jl_a6a332c03fae43ff,1
517,jl_6fcfc077d515cf2a,1
518,jl_bb656cb3adf08fc2,1
519,jl_617d4a61a8adf605,1
520,jl_f42a3b6dfb86dfff,1
521,jl_84071e864a952649,1
522,jl_c0999baee2ba3053,1
523,jl_6b70e913954aea36,1
524,jl_f7f0bb848edac1d8,1
525,jl_0bfda17d0dafc51a,1
526,jl_4e52849e166dfcee,1
527,jl_5579f9cdd3925684,1
528,jl_d1eb8575c85091db,1
529,jl_418c36a73af4c33c,1
530,jl_6278da4aaa4f5c22,1
531,jl_43bfec89ee45eb97,1
532,jl_697a3e84c4901dea,1
533,jl_8ea12362f5709b84,1
534,jl_2efe484172a37224,1
535,jl_5ba0882fbaadba37,1
536,jl_755c3c4b3b612783,1
537,jl_04953396c320fc7d,1
538,jl_eee9efc515bb13d6,1
539,jl_ef92f91da5ee7a07,1
540,jl_8a56baa241d06c05,1
541,jl_adff12ae0b8b2b3d,1
542,jl_2e31317f042b280e,1
543,jl_1bbfc04eca5f0a84,1
544,jl_272cafee2199da5c,1
545,jl_ea04402ec43f4969,1
546,jl_b7fdbe270e6fa3e4,1
547,jl_146c2225968c56e4,1
548,jl_5bb6212e910dd74f,1
549,jl_2297ee03e7a65cef,1
550,jl_36053f00328c2bee,1
551,jl_97a611caab239c99,1
552,jl_e08bf325787edffa,1
553,jl_2256ca73cf1ab1e2,1
554,jl_054d11e557796aec,1
555,jl_d17f188ec71ae831,1
556,jl_beaf3daf8fe88b2d,1
557,jl_05c2805b27536a02,1
558,jl_8ae690e284f57c29,1
559,jl_f3735cb555ef9177,1
560,jl_ba439c39716efdb7,1
561,jl_7e4a221a7e48cddb,1
562,jl_9ae4ca7acea48afa,1
563,jl_2dcc9bce8ac7b37d,1
564,jl_36d31da8f4c7a665,1
565,jl_58e0edacff347dd4,1
566,jl_fd7ab93a23990a02,1
567,jl_d04d44933c2d773f,1
568,jl_5ef78db0070fd967,1
569,jl_6a16807792558eca,1
570,jl_2f952787f067faf8,1
571,jl_2ade38eba999fb37,1
572,jl_fc49c86aaae2d436,1
573,jl_4b04b33a61318016,1
574,jl_06860199e2efdf98,1
575,jl_5cef0c3c8fec89d8,1
576,jl_73c857655c008ea4,1
577,jl_bee91916c14f01e0,1
578,jl_784f2a4a45c3d20b,1
579,jl_663d0c9335d5adb9,1
580,jl_fe7331b3aa723acc,1
581,jl_3ffebab789bb83c8,1
582,jl_855ccfa08000b0fb,1
583,jl_e9fc3f6940c7343a,1
584,jl_6b0f5b3ec476ba17,1
585,jl_052b85a29e6051b8,1
586,jl_137dac2ee7b76feb,1
587,jl_27c78225ff663692,1
588,jl_d5f2bbab01e098f1,1
589,jl_a164e874031221fc,1
590,jl_2b93e30cbfd8ff41,1
591,jl_c725e27a4d97f0e8,1
592,jl_e5ce2df3050b1154,1
593,jl_840e48f4af0e5f46,1
594,jl_104ac56715c63005,1
595,jl_776b9db77d9d2fe8,1
596,jl_ec92ad6e4808497f,1
597,jl_f68459789de42a7d,1
598,jl_bc4a2c85eb8d27e4,1
599,jl_691b0450a948de20,1
600,jl_f2a0213aa42df962,1
601,jl_d0786a593ce3d0e5,1
602,jl_4027c5d198e39c04,1
603,jl_7ec13d8d56b60275,1
604,jl_0b37042b9d64f67c,1
605,jl_089f591e30eeed8c,1
606,jl_7859147e08c52906,1
607,jl_767fafb2c67f8b4c,1
608,jl_82ad26380e8617ce,1
609,jl_e62342b587f697af,1
610,jl_1c2c8863212b7f96,1
611,jl_41649c4a8ba69418,1
612,jl_c0653daeb0f6d100,1
613,jl_11af9acdb610afc1,1
614,jl_f3700f100375c29f,1
615,jl_06957d8f878afdf7,1
616,jl_e754ce28f36c4ace,1
617,jl_d5a1a4c1e1a508a3,1
618,jl_c02035fff98bfd45,1
619,jl_3001192cf89f06b0,1
620,jl_9b6656f58ab2546c,1
621,jl_eba35cc86197d2a1,1
622,jl_5e2e6998ec182a6a,1
623,jl_f379e24e35f2f043,1
624,jl_626b5d80714c3971,1
625,jl_9ef863afc95fb76b,1
626,jl_484b12e1bb0f45c5,1
627,jl_c62f846f332037b2,1
628,jl_02698ddc0ffd5696,1
629,jl_a29f364b7cee3d1d,1
630,jl_688311d0b8457ad7,1
631,jl_dbc07853063d02ad,1
632,jl_22bb4301328e0b80,1
633,jl_610f00c537e130a7,1
634,jl_f8ef9db42d025917,1
635,jl_36e27b0e5144df51,1
636,jl_ee744923ebf990d9,1
637,jl_fcd47e023087ac23,1
638,jl_6600be51ffc706fa,1
639,jl_867cd1b8d8edf248,1
640,jl_ae9cfbef41233d6b,1
641,jl_797dd684ced93148,1
642,jl_41d8a9a99327af72,1
643,jl_c881e9e969ebdcb7,1
644,jl_379feb4e1b5b972d,1
645,jl_d59516a611b7a011,1
646,jl_c13bfe5deaf8b296,1
647,jl_a2a7ab5748ac4179,1
648,jl_0dc3e8ec1c990237,1
649,jl_2980b883c17f295e,1
650,jl_6e0597718975aeda,1
651,jl_28736a953e9fece1,1
652,jl_e1e4886fc199f229,1
653,jl_3e0193cbe56d86aa,1
654,jl_690d8c69fd54e5aa,1
655,jl_b48f6f2ea5d1b675,1
656,jl_774533c5c6a58f87,1
657,jl_0b88f453e6987b06,1
658,jl_9c4b47789592b03e,1
659,jl_9a4419dcd59fcfe5,1
660,jl_a8765371184f1211,1
661,jl_45d34a2daa3c26bf,1
662,jl_7bf234822ee4a595,1
663,jl_8802b3462cbbc7a9,1
664,jl_f7ff29b98a841012,1
665,jl_ae9cfbef41233d6b,1
666,jl_2b361b2441729013,1
667,jl_8b277ada46fe0a50,1
668,jl_eb0254fd1cae7268,1
669,jl_8802b3462cbbc7a9,1
670,jl_e47ca3e2bb531f44,1
671,jl_a8765371184f1211,1
672,jl_14f72ccbbad6c125,1
673,jl_1ce5959a5308cdc5,1
674,jl_40aa8253449c2054,1
675,jl_fda42ac0efb2b26b,1
676,jl_400c125a43a40d57,1
677,jl_ba34b9c406e58af8,1
678,jl_d63c1acce3ed8474,1
679,jl_155805abf7177e2d,1
680,jl_baa9d7201515ccaf,1
681,jl_27d47a850f9a63a8,1
682,jl_0851b211dbf3e3e8,1
683,jl_c2cbd644ae59f5c4,1
684,jl_682dfbc0f8c2979b,1
685,jl_4e5a49e7b57bd181,1
686,jl_48808848217d64f0,1
687,jl_700ec3386a5142a5,1
688,jl_60c00ae9e15f9b07,1
689,jl_88f8ba6e27c470fa,1
690,jl_7e226087f46a55d2,1
691,jl_245db200f5d3556e,1
692,jl_6adf90f2807e2098,1
693,jl_08b514f4a446280a,1
694,jl_31bd907dc349ce83,1
695,jl_879aca7ef36e6969,1
696,jl_956939c8c5c79255,1
697,jl_177d82fb57c77d7a,1
698,jl_2f403be68aee190b,1
