,job_id,has_phd,title
235,jl_cb8cea591851c2a5,1,Data Scientist
236,jl_f94c701a2ccc6a5d,1,"Director/Senior Director, DMPK"
237,jl_e2800bc6171ddc79,1,"Senior Principal Scientist, Genomics"
238,jl_17f1aa06a0c4d34b,1,Staff Scientist - Collections
239,jl_430c72375af72021,1,"Director/Senior Director, Clinical Pharmacology"
240,jl_0f5a277f1db295fb,1,"Principal Scientist, Method Development"
241,jl_569afe6d412e2980,1,Senior Scientist - Analytical Development
242,jl_0e01538c7db6a1d2,1,"Principal Scientist/Associate Director, DMPK"
243,jl_6014667ea48259e7,1,"Data Scientist/Machine Learning Researcher - Arlington, VA"
244,jl_1272a5cbbae1caa3,1,Embedded Communications Software Engineer
245,jl_ac6520dcecf308d0,1,Compiler Engineer
246,jl_ce064112630ab6e3,1,"Computational Biology, Scientist"
247,jl_e74603b20ffdd818,1,Data Scientist
248,jl_2d02469a99c70c4f,1,Data Scientist
249,jl_10a9371618a8054e,1,Python Engineer â€“ Salary and Equity
250,jl_86ee9e143418385c,1,Data Scientist
251,jl_8229c1873c8d99c8,1,Research Associate I
252,jl_aa8a4084fb1c15af,1,POST DOC RESEARCHER
253,jl_d4af01204e873ebb,1,"Assistant Director Clinical Scientist, Oncology"
254,jl_05294058f264e019,1,Biostatistician
255,jl_9b40b0ee051a37b3,1,Principal Architect - Blockchain Technologies
256,jl_69dc0183e2a56e8f,1,Clinical Research Scientist
257,jl_b3462acabd0f43c3,1,Bioinformatics Scientist
258,jl_c267f33729394886,1,C++ Developer
259,jl_607a415fad0ea278,1,Chief Battery Scientist
260,jl_e4b8d9a769dc46f8,1,"ASSOCIATE DIRECTOR, CLINICAL DEVELOPMENT (CLINICAL SCIENTIST..."
261,jl_980d81e309c8ed39,1,"Scientist, Biomarkers"
262,jl_7cf08d1496ecb769,1,"Scientist/Senior Scientist, Drug Delivery"
263,jl_aa8a4084fb1c15af,1,POST DOC RESEARCHER
264,jl_31cd06b99a8d89bf,1,"Scientist, Formulation Development"
265,jl_a95592b6be46cfde,1,Senior Process Engineer
266,jl_0a0fb12e8a4f7b12,1,"Postdoctoral Associate, Institute for Data, Systems, and Soc..."
267,jl_c9f3d74dfec2b58a,1,Back-End Web Developer
268,jl_f34af8149492488e,1,Senior Software Engineer - Distributed Platform
269,jl_03646a271e03048e,1,Scientist
270,jl_72a629a4b1d37190,1,RESEARCH TECHNICIAN II (Harris Orthopaedic Lab)
271,jl_0d10ec5c2c7c0452,1,Data Scientist
272,jl_e74603b20ffdd818,1,Data Scientist
273,jl_8424422a297608b4,1,Sr. Scientist (Chemistry)
274,jl_09fc86b6840a40ea,1,"Principal Scientist, Formulations (Biologics)"
275,jl_738e821e2461e436,1,Computer Vision / Machine Learning Algorithm Developer
276,jl_6014667ea48259e7,1,"Data Scientist/Machine Learning Researcher - Arlington, VA"
277,jl_980d81e309c8ed39,1,"Scientist, Biomarkers"
278,jl_7cf08d1496ecb769,1,"Scientist/Senior Scientist, Drug Delivery"
279,jl_b288d89936d6d913,1,Senior Quality Assurance Engineer - Distributed Platform
280,jl_f34af8149492488e,1,Senior Software Engineer - Distributed Platform
