account_key,join_date,join_year,join_month,join_day,days_active
1235,2015-08-12,2015,8,12,11
417,2015-08-12,2015,8,12,11
794,2015-08-13,2015,8,13,10
177,2015-04-10,2015,4,10,135
797,2015-04-24,2015,4,24,121
49,2015-04-24,2015,4,24,121
376,2015-05-05,2015,5,5,110
228,2015-05-07,2015,5,7,108
173,2015-05-07,2015,5,7,108
422,2015-05-08,2015,5,8,107
236,2015-05-10,2015,5,10,105
1182,2015-05-11,2015,5,11,104
287,2015-05-11,2015,5,11,104
648,2015-05-11,2015,5,11,104
519,2015-05-11,2015,5,11,104
566,2015-05-12,2015,5,12,103
852,2015-05-12,2015,5,12,103
491,2015-05-12,2015,5,12,103
445,2015-05-13,2015,5,13,102
644,2015-05-13,2015,5,13,102
68,2015-05-13,2015,5,13,102
489,2015-06-01,2015,6,1,83
1206,2015-06-03,2015,6,3,81
414,2015-06-07,2015,6,7,77
226,2015-06-08,2015,6,8,76
2,2015-06-08,2015,6,8,76
1274,2015-07-08,2015,7,8,46
218,2015-07-08,2015,7,8,46
324,2015-07-09,2015,7,9,45
1000,2015-07-11,2015,7,11,43
973,2015-07-13,2015,7,13,41
806,2015-07-15,2015,7,15,39
832,2015-07-16,2015,7,16,38
689,2015-07-17,2015,7,17,37
1278,2015-07-17,2015,7,17,37
438,2015-07-17,2015,7,17,37
992,2015-07-17,2015,7,17,37
575,2015-07-17,2015,7,17,37
1298,2015-08-11,2015,8,11,12
751,2015-08-11,2015,8,11,12
1176,2015-08-12,2015,8,12,11
1110,2015-08-13,2015,8,13,10
