account_key,join_date,cancel_date,days_active,status
102,2014-11-10,2015-08-27,291,1
103,2015-01-07,2015-08-27,233,1
104,2015-04-10,2015-08-27,140,1
105,2015-04-07,2015-05-14,38,0
106,2014-11-11,2015-08-27,290,1
107,2015-04-24,2015-08-27,126,1
108,2015-01-07,2015-05-14,128,0
109,2015-05-06,2015-08-27,114,1
110,2014-12-03,2015-05-10,159,0
111,2014-12-07,2015-03-01,85,0
112,2015-05-08,2015-08-27,112,1
113,2015-03-04,2015-07-11,130,0
114,2014-11-10,2015-08-27,291,1
115,2015-01-11,2015-08-27,229,1
116,2015-05-06,2015-08-27,114,1
117,2015-04-08,2015-08-27,142,1
118,2015-04-06,2015-08-27,144,1
119,2014-12-03,2015-08-27,268,1
120,2015-05-11,2015-08-27,109,1
121,2015-06-07,2015-08-27,82,1
122,2015-07-17,2015-08-27,42,1
123,2014-11-10,2015-04-17,159,0
124,2015-05-31,2015-08-27,89,1
125,2015-01-13,2015-08-27,227,1
126,2014-11-14,2015-08-27,287,1
127,2015-04-24,2015-08-27,126,1
128,2015-06-08,2015-08-27,81,1
129,2015-05-11,2015-08-27,109,1
130,2014-11-10,2015-06-17,220,0
131,2014-11-14,2015-08-27,287,1
132,2015-03-04,2015-06-11,100,0
133,2015-06-08,2015-08-27,81,1
134,2015-02-05,2015-06-12,128,0
135,2014-11-14,2015-08-27,287,1
136,2015-02-05,2015-08-27,204,1
137,2014-12-06,2015-08-27,265,1
138,2015-02-10,2015-08-27,199,1
139,2015-03-06,2015-08-27,175,1
140,2014-11-10,2015-08-27,291,1
141,2015-03-07,2015-05-14,69,0
142,2015-01-12,2015-08-27,228,1
143,2015-02-09,2015-06-16,128,0
144,2015-01-09,2015-08-27,231,1
145,2014-11-10,2015-08-27,291,1
146,2015-04-24,2015-08-27,126,1
147,2014-12-03,2015-08-27,268,1
148,2014-11-11,2015-04-18,159,0
149,2015-03-11,2015-08-27,170,1
150,2014-11-10,2015-05-17,189,0
151,2015-01-11,2015-04-02,82,0
152,2014-11-17,2015-08-27,284,1
153,2014-12-07,2015-07-14,220,0
154,2015-05-09,2015-08-27,111,1
155,2014-11-14,2015-08-27,287,1
156,2014-11-10,2015-08-27,291,1
157,2014-11-10,2015-07-17,250,0
158,2015-04-04,2015-08-27,146,1
159,2014-12-09,2015-08-27,262,1
160,2014-11-11,2015-02-18,100,0
161,2014-11-12,2015-05-19,189,0
162,2015-05-11,2015-08-27,109,1
163,2015-07-09,2015-08-27,50,1
164,2015-07-16,2015-08-27,43,1
165,2014-11-10,2015-03-17,128,0
166,2014-12-08,2015-08-27,263,1
167,2015-04-24,2015-08-27,126,1
168,2015-01-12,2015-08-27,228,1
169,2014-12-09,2015-08-12,247,0
170,2015-01-09,2015-08-16,220,0
171,2015-03-08,2015-06-15,100,0
172,2015-03-10,2015-08-27,171,1
173,2015-05-07,2015-08-27,113,1
174,2014-12-03,2015-03-10,98,0
175,2015-05-09,2015-08-27,111,1
176,2015-07-08,2015-08-27,51,1
177,2015-04-10,2015-08-27,140,1
178,2014-11-17,2015-05-09,174,0
179,2014-11-10,2015-03-17,128,0
