,store_number,zipcode,County,2015_margin_avg_$,2015_price_avg_$pL,2015_volume_total_L,2015_volume_avg_L,2015_sales_total_$,2015_sales_avg_$,city,County number,2015Q1_sales_total_$,2015Q1_volume_total_L,2016Q1_sales_total_$,2016Q1_volume_total_L,First Date,Last Date
935,4805,50501,Webster,27.29520000000001,18.631484103114936,963.7299999999998,5.50702857142857,14307.200000000004,81.7554285714286,FORT DODGE,94,3705.170000000001,258.11,641.28,57.15,2015-01-16,2016-03-07
936,4806,52776,Muscatine,48.2656338028169,19.86095238095238,572.0,8.056338028169014,10268.38,144.6250704225352,WEST LIBERTY,70,1812.6399999999996,95.0,2229.9600000000005,165.9,2015-02-04,2016-03-02
937,4807,52361,Iowa,46.70944444444447,13.469773662551438,1971.5,12.169753086419753,22577.95,139.37006172839506,WILLIAMSBURG,48,4899.200000000001,376.5,2666.04,280.5,2015-01-15,2016-03-28
938,4808,51501,Pottawattamie,33.296551724137935,15.181986863711002,428.35,7.3853448275862075,5789.920000000001,99.82620689655174,COUNCIL BLUFFS,78,1155.6599999999999,60.0,207277.69999999998,12601.5,2015-01-06,2016-03-31
939,4810,50021,Polk,30.054077669902913,17.635766518133792,617.67,5.996796116504854,9260.700000000003,89.90970873786411,ANKENY,77,2544.770000000001,167.45999999999998,708.5,40.480000000000004,2015-01-27,2016-03-29
940,4811,50150,Monroe,24.636363636363637,18.66034632034632,48.15,4.377272727272727,812.44,73.85818181818182,LOVILIA,68,157.06,5.1,1511.34,125.82000000000001,2015-01-13,2016-03-15
941,4813,52751,Clinton,19.281836734693876,17.582957904966495,244.32999999999998,4.986326530612245,2814.3499999999995,57.435714285714276,GRAND MOUND,23,337.20000000000005,49.25,2564.85,153.12,2015-02-11,2016-03-23
942,4817,50138,Marion,27.240999999999996,17.15579876021415,342.3,6.846,4062.4999999999995,81.24999999999999,KNOXVILLE,63,814.85,70.63,332.03999999999996,18.0,2015-01-08,2015-02-19
943,4818,52101,Winneshiek,42.05054347826085,16.725511128364396,835.5699999999999,9.082282608695651,11589.1,125.96847826086957,DECORAH,96,3727.86,224.92,7967.810000000001,662.5,2015-01-27,2016-03-28
944,4819,50009,Polk,13.953796610169489,19.94938767537309,913.2700000000001,3.0958305084745765,12318.799999999992,41.75864406779658,ALTOONA,77,3081.0800000000004,206.33,846.64,47.46999999999999,2015-01-06,2016-03-29
